Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Karolina       Petrauskaite   4         7         2         5         7         3         7         5         5         6         4         8         10        8         9         1         
Ieva           Lukoseviciute  7         6         1         3         3         10        3         2         2         10        2         10        10        3         4         4         
Guoste         Kazlauskaite   8         1         1         7         10        8         5         5         9         8         5         5         10        6         4         10        
Robertas       Petrauskas     9         2         10        3         6         6         8         1         2         2         8         5         1         9         1         2         
Patricija      Kazlauskaite   9         10        6         4         4         9         1         4         1         10        8         10        3         3         3         3         
Arnas          Butkus         4         3         8         7         6         1         10        3         7         1         4         9         5         7         1         4         
Liepa          Petrauskaite   6         7         10        3         2         4         9         5         9         5         4         5         10        7         10        5         
Augustas       Mazeika        7         5         7         5         3         5         6         8         7         9         2         6         4         9         2         2         
Sandra         Balciunaite    9         3         5         4         1         8         1         9         3         3         1         4         9         4         1         6         
Marius         Butkus         3         6         7         1         8         6         2         9         6         10        2         1         10        5         9         2         
Arvydas        Butkus         8         4         3         6         9         4         5         6         7         1         7         10        2         4         6         6         
Aleksandra     Lukoseviciute  7         2         5         3         5         2         1         6         7         5         9         7         5         8         5         9         
Marius         Butkus         7         2         6         10        8         1         5         4         10        3         10        7         10        2         1         1         
Arnas          Urbanavicius   3         9         3         7         2         2         7         4         10        9         9         10        4         10        8         5         
Arvydas        Adomaitis      3         3         4         6         1         6         6         5         7         9         7         8         6         1         2         1         
Karolina       Vasiliauskaite 3         10        1         8         4         7         7         7         3         8         9         3         6         6         1         3         
Augustas       Kavaliauskas   6         6         10        5         3         3         4         3         4         9         7         3         6         3         9         7         
Sandra         Butkute        10        9         9         10        4         5         1         9         5         5         7         1         6         5         9         2         
Marius         Navickas       5         1         5         5         2         1         6         10        9         10        4         3         8         5         9         7         
Marius         Navickas       2         10        5         6         9         9         5         4         6         1         1         4         1         6         4         6         
Karolina       Leonaviciute   7         7         8         7         2         8         10        3         8         8         1         8         5         2         7         3         
Sandra         Kazlauskaite   5         5         7         3         10        8         7         3         4         5         1         1         10        9         7         4         
Smilte         Kavaliauskaite 7         4         4         8         6         2         7         3         8         4         10        2         9         4         9         3         
Arvydas        Sadauskas      9         8         3         1         5         4         1         7         3         1         1         10        2         4         10        4         
Patricija      Leonaviciute   1         9         9         2         8         3         5         3         5         9         1         8         1         5         2         5         
Jokubas        Jankauskas     1         10        3         9         1         5         4         5         2         7         3         9         7         5         7         2         
Deivydas       Adomaitis      10        10        10        8         3         1         3         6         4         5         6         8         1         6         9         1         
Karolina       Lukoseviciute  8         2         1         10        1         2         7         8         4         7         6         5         6         10        5         7         
Gija           Petrauskaite   1         5         4         4         7         2         2         10        3         8         1         3         2         8         9         3         
Karolina       Kavaliauskaite 7         5         3         6         5         1         4         10        1         5         3         3         2         10        4         3         
Vita           Kavaliauskaite 5         1         6         5         6         2         1         9         10        6         4         2         1         9         7         4         
Ieva           Petrauskaite   4         2         4         7         6         5         9         4         9         1         9         6         7         5         6         7         
Liepa          Pociute        2         2         7         8         3         3         5         3         1         9         9         4         3         4         3         10        
Liepa          Pociute        9         8         5         2         1         7         9         2         10        8         6         2         5         2         9         2         
Augustas       Butkus         1         10        8         6         8         8         1         3         5         6         9         2         7         1         1         5         
Gija           Balciunaite    10        9         10        2         10        4         4         6         1         1         1         2         10        3         2         7         
Arnas          Mazeika        2         4         10        6         8         7         9         6         6         2         1         4         7         10        7         6         
Jokubas        Navickas       8         1         9         8         2         3         2         3         2         6         10        3         6         1         6         2         
Karolina       Pociute        8         10        4         3         5         5         3         4         9         6         8         5         1         10        8         1         
Karolina       Jankauskaite   3         7         10        8         3         3         5         6         3         2         9         4         10        6         5         3         
Karolina       Lukoseviciute  9         9         10        5         4         2         4         8         3         2         3         1         10        9         8         8         
Marius         Butkus         1         6         10        10        8         1         7         2         8         2         3         8         5         9         5         10        
Nojus          Kavaliauskas   3         4         5         6         3         9         4         6         3         1         8         9         9         6         1         2         
Arvydas        Jankauskas     9         5         3         9         7         4         6         2         5         8         10        2         9         7         1         1         
